name,load,startTime,endTime,startPos,endPos
DeRotterda.West.LW.LW02,11,2014-04-03 12:34:44,2014-04-03 12:35:17,23,0
DeRotterda.West.LW.LW02,3,2014-04-03 12:36:01,2014-04-03 12:36:54,0,43
DeRotterda.West.LW.LW02,5,2014-04-03 12:46:28,2014-04-03 13:02:05,43,25
DeRotterda.West.LW.LW02,7,2014-04-03 13:02:19,2014-04-03 13:02:54,25,0
DeRotterda.West.LW.LW02,4,2014-04-03 13:09:03,2014-04-03 13:09:38,0,25
DeRotterda.West.LW.LW02,3,2014-04-03 13:09:47,2014-04-03 13:10:11,25,43
DeRotterda.West.LW.LW02,11,2014-04-03 13:10:21,2014-04-03 13:11:14,43,0
DeRotterda.West.LW.LW02,0,2014-04-03 13:11:24,2014-04-03 13:11:36,0,4
DeRotterda.West.LW.LW02,4,2014-04-03 13:11:43,2014-04-03 13:12:05,4,17
DeRotterda.West.LW.LW02,2,2014-04-03 13:13:36,2014-04-03 13:13:45,17,19
DeRotterda.West.LW.LW02,11,2014-04-03 13:15:23,2014-04-03 13:15:35,19,24
DeRotterda.West.LW.LW02,12,2014-04-03 13:18:00,2014-04-03 13:18:27,24,44
DeRotterda.West.LW.LW02,5,2014-04-03 13:21:24,2014-04-03 13:21:50,44,25
DeRotterda.West.LW.LW02,9,2014-04-03 13:22:07,2014-04-03 13:22:31,25,8
DeRotterda.West.LW.LW02,7,2014-04-03 13:22:46,2014-04-03 13:22:54,8,10
DeRotterda.West.LW.LW02,2,2014-04-03 13:24:48,2014-04-03 13:24:55,10,11
DeRotterda.West.LW.LW02,10,2014-04-03 13:25:04,2014-04-03 13:25:24,11,0
DeRotterda.West.LW.LW02,0,2014-04-03 13:27:01,2014-04-03 13:27:20,0,10
DeRotterda.West.LW.LW02,6,2014-04-03 13:27:50,2014-04-03 13:27:57,10,11
DeRotterda.West.LW.LW02,7,2014-04-03 13:28:11,2014-04-03 13:28:18,11,12
DeRotterda.West.LW.LW02,7,2014-04-03 13:28:29,2014-04-03 13:28:36,12,13
DeRotterda.West.LW.LW02,7,2014-04-03 13:28:46,2014-04-03 13:28:53,13,14
DeRotterda.West.LW.LW02,7,2014-04-03 13:29:06,2014-04-03 13:29:12,14,15
